	Malot_ClotildeMartory	Flaubert_MadameBovary	Gaboriau_Lerouge	Maupassant_PierreJean	Aimard_BanditsArizona	Stolz_TresorNanette	Zola_Nana	sum
culbute	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
croisées	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0
croisait	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0
décent	0.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0
décence	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0
décemment	0.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0
décelait	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0
croissaient	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0
décachetait	0.0	1.0	0.0	0.0	0.0	1.0	0.0	2.0
débuts	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
croissants	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0
croisèrent	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0
croisé	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0
débutante	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
crotté	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0
croyons	0.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0
croulait	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
débouchait	0.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0
déborder	0.0	1.0	0.0	0.0	0.0	1.0	0.0	2.0
croupes	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0
débordement	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
débordante	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
débordant	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
croyable	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0
débordait	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
croyait-elle	1.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0
débonnaire	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
croyances	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0
culasse	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0
cultivait	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0
données	0.0	0.0	0.0	0.0	0.0	1.0	1.0	2.0
douane	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
doutaient	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
cérébrale	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0
cérémonieuse	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
cérémonieusement	0.0	0.0	0.0	0.0	0.0	1.0	1.0	2.0
douceâtre	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
cérémonieux	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0
c’eût	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
doubles	0.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0
d	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0
dada	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0
doublera	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0
doublant	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
douairières	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0
doutent	0.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0
doter	1.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0
daigne	0.0	0.0	0.0	0.0	0.0	1.0	1.0	2.0
daigner	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0
dormirait	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0
daim	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0
dormeurs	0.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0
dalle	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
dallé	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
damas	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
dorloter	0.0	1.0	0.0	0.0	1.0	0.0	0.0	2.0
damnation	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
damoclès	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0
doutant	0.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0
douterai	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0
cultive	0.0	1.0	0.0	0.0	0.0	1.0	0.0	2.0
cynique	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0
cultiver	0.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0
due	1.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0
dubocage	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
cupidité	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0
drouard	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
drogue	0.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0
dressés	0.0	1.0	0.0	0.0	1.0	0.0	0.0	2.0
dressoirs	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0
dressoir	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
cures	1.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0
curieuses	1.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0
drapaient	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0
cyniques	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0
célébrer	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0
cynisme	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
dramatiques	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
dramatique	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0
dragées	0.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0
câlin	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0
câlineries	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
dr	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0
cèdres	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0
doutée	0.0	1.0	0.0	0.0	0.0	1.0	0.0	2.0
doutât	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0
doutiez	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0
douteux	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0
déshonorer	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0
consternation	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0
déshonorés	1.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0
désignait	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0
châtelaines	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
ecclésiastiques	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0
ecclésiastique	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
eaah	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0
d’ôter	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
chèvres	0.0	1.0	0.0	0.0	1.0	0.0	0.0	2.0
d’éventail	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
chérissant	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
chênes-lièges	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0
d’étranges	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0
ci	0.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0
d’étourdissement	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
d’étonnement	0.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0
d’étincelles	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
d’éteindre	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
ciboire	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
d’établir	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
cicatrice	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0
cicérone	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0
d’équipages	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
cime	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0
d’éprouver	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
d’épouser	0.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0
cimes	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
d’épice	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
cinglait	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
cinquante-huit	0.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0
effacer	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0
effacée	1.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0
effacés	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0
emballe	1.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0
embrassant	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0
embrassaient	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0
chiffonnier	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
embonpoint	0.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0
chiffonnée	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
embelli	0.0	0.0	0.0	0.0	0.0	1.0	1.0	2.0
embaumaient	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0
chinoise	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
chirurgicale	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
embarquais	1.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0
chirurgie	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
emballé	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0
chlore	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
effarouchée	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0
el	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0
chocolats	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
efféminée	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0
effroyablement	1.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0
effrayantes	0.0	0.0	0.0	1.0	1.0	0.0	0.0	2.0
efforça	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0
choisis	0.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0
choléra	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
choquant	1.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0
choquée	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0
effilé	0.0	0.0	0.0	1.0	1.0	0.0	0.0	2.0
chroniqueur	1.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0
cinquante-six	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0
d’énergie	0.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0
circonspect	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0
clématites	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
clichy	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0
clignait	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
d’insouciance	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
d’inscriptions	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
climat	0.0	1.0	0.0	0.0	1.0	0.0	0.0	2.0
d’indiquer	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0
cliquette	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
clochers	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
d’inconvénient	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
cloisons	0.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0
d’impudeur	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
d’imperceptibles	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0
d’imbéciles	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0
clenche	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
d’imagination	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
d’images	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0
clémence	0.0	1.0	0.0	0.0	1.0	0.0	0.0	2.0
clôtures	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
d’idiot	0.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0
d’hôpital	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0
d’héroïsme	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
cocuage	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
coffre-fort	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
cognant	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
cohues	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
coiffait	1.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0
d’interrompre	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0
d’intervenir	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
d’égoïsme	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
d’ordures	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
citron	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0
d’échéance	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
citronniers	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
d’écailles	0.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0
d’écaille	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
citrons	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
civilisations	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0
d’usage	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
d’ormes	0.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0
d’origine	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
claire-voie	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
d’oreille	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0
d’opéra	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
d’inventer	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
d’opinion	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0
clapotement	0.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0
claquait	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0
d’ombrelles	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0
claquemurée	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0
d’offrir	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0
d’officier	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
d’obscurité	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0
d’objets	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
d’italie	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0
classique	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
d’irritation	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0
embrasserons	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0
embrassez	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0
chichimèques	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0
encourageant	0.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0
endure	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0
changées	1.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0
enduit	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0
endosser	0.0	1.0	0.0	0.0	1.0	0.0	0.0	2.0
endormirent	0.0	1.0	0.0	0.0	1.0	0.0	0.0	2.0
endormies	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
endormait	1.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0
chantante	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
endit-ah	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0
encéphalite	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0
chantier	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
chantilly	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
encourageait	0.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0
enfantillages	0.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0
encouragea	0.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0
chantre	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
chapelets	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
encombrait	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
chapelles	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0
chapitres	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0
char	0.0	1.0	0.0	0.0	0.0	1.0	0.0	2.0
enchères	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
charcutier	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0
enchanteurs	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0
chargement	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0
charitable	0.0	1.0	0.0	0.0	0.0	1.0	0.0	2.0
changez	0.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0
enfanté	1.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0
encadrée	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0
enfouis	0.0	1.0	0.0	0.0	1.0	0.0	0.0	2.0
englouti	1.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0
cernés	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0
certifié	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
engagés	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0
engagerait	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0
engagerai	1.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0
cessai	1.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0
enfumé	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
chafouine	1.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0
enfuir	0.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0
chagriner	0.0	0.0	0.0	1.0	1.0	0.0	0.0	2.0
chagriné	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0
enfonçaient	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0
enfilait	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0
enfoncés	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0
enfoncèrent	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0
enfoncements	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
chambertin	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
enfoncement	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
enfonce	1.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0
chambrette	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0
chameau	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
champ-de-mars	1.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0
enflammé	1.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0
champignon	0.0	0.0	0.0	0.0	0.0	1.0	1.0	2.0
champêtres	0.0	0.0	0.0	0.0	0.0	1.0	1.0	2.0
encadrées	0.0	0.0	0.0	0.0	0.0	1.0	1.0	2.0
encadré	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0
embrassées	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0
cheminots	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
emplies	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
emplette	0.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0
chaussures	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
emphatique	0.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0
chaussée-d’antin	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
chaussées	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0
empeser	0.0	1.0	0.0	0.0	0.0	1.0	0.0	2.0
empereurs	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0
chaînette	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
chef-d’œuvre	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
emparai	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0
empaillé	0.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0
emménagement	1.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0
emplis	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0
emmitouflée	1.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0
cherbourg	0.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0
embêtée	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
chevaleresque	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0
chevalerie	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0
embrouille	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0
chevreuil	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
chevrotante	0.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0
cheyennes	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0
embrasé	0.0	0.0	0.0	0.0	0.0	1.0	1.0	2.0
chicane	1.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0
embrasure	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0
emplir	0.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0
chauffe	0.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0
charivari	0.0	1.0	0.0	0.0	0.0	1.0	0.0	2.0
charriait	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0
charmée	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0
charnier	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
charnière	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0
emprunté	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0
emprunts	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0
emprunter	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0
charognes	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
charpentes	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
charpentier	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
emprunt	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
emprisonnée	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0
empressée	0.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0
charte	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0
emploient	0.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0
empourprait	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0
chassant	0.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0
chasses	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0
chassée	0.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0
emportements	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0
chassés	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0
chatouille	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
empoignée	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
chatouillée	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
empoigna	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
empochait	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0
chauffant	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
d’horlogerie	0.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0
d’horloge	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0
d’honnêteté	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
dînant	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0
d’absence	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
d’abricots	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
d’abraham	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
conduis	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0
conduisant	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
d’abominable	0.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0
d’abbeville	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
d’abandonner	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
d’abandon	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
conduites	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0
dômes	0.0	1.0	0.0	0.0	0.0	1.0	0.0	2.0
confection	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0
dînaient	1.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0
d’abuser	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
confessait	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
confessant	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0
confessionnal	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
confidente	0.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0
confidentiel	1.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0
confie	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0
confins	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
dévorés	0.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0
confirma	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
confirmer	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0
dévorant	0.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0
dévorais	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0
conduirai	1.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0
d’acceptation	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0
dévoilée	0.0	0.0	0.0	1.0	1.0	0.0	0.0	2.0
concernait	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0
d’ami	0.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0
d’amboise	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
comptons	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0
d’amazone	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0
d’amadou	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
compère	0.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0
comtes	1.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0
comté	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0
comètes	0.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0
d’allumer	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
conception	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
d’alcoolisme	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
