	Dickens_Cricket_0	Dickens_Cricket_1	Dickens_Cricket_2	Dickens_Cricket_3	Dickens_Cricket_4	Dickens_Cricket_5	Dickens_Cricket_6	Dickens_Cricket_7	Dickens_Cricket_8	Dickens_Cricket_sum
158_CRD_158	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
viands_NN2_viand	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
self-possession_NN1_self-possession	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
lap_NN1_lap	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
management_NN1_management	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Babies_NN2_baby	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
points_NN2_point	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
smoking_NN1_smoking|smoke	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
contribution_NN1_contribution	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Wo_VM0_will	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
flanked_VVN_flank	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Welsh_AJ0_welsh	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Giant_NN1_giant	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
toe_NN1_toe	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
fatal_AJ0_fatal	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
surgical_AJ0_surgical	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
juggling_NN1_juggling|juggle	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
trick_NN1_trick	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
achieved_VVN_achieve	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
arch_AJ0_arch	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
discoveries_NN2_discovery	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
prevent_VVB_prevent	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
bridling_AJ0_bridling	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
wonderfully_AV0_wonderfully	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
reply_VVI_reply	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Give_VVB_give	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
composed_AJ0_composed|compose	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
cheery_AJ0_cheery	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
To_PRP_to	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
sure_AV0_sure	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
producing_VVG_produce|producing	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
withstood_VVN_withstand	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
guard_NN1_guard	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
compact_NN1_compact	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
console_VVI_console	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
bouncing_VVG_bounce|bouncing	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
prohibited_VVN_prohibit|prohibited	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
saying_NN1_saying|say	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
daisy_NN1_daisy	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
mount_VVI_mount	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
obdurate_AJ0_obdurate	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
inclusive_AV0_inclusive	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
ankles_NN2_ankle	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0
distress_NN1_distress	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
afterwards_AV0_afterwards	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
thereof_AV0_thereof	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
undeceived_AJ0_undeceived	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
apprised_VVN_apprise	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
consequences_NN2_consequence	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
pressing_VVG_press|pressing	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
proudly_AV0_proudly	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
scorned_VVD_scorn|scorned	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
Blame_VVB_blame	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
morally_AV0_morally	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
182_CRD_182	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
sight_VVI_sight	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
fears_NN2_fear	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
mitre_NN1_mitre	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
stiff_AJ0_stiff	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
195_CRD_195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
unimpeachable_AJ0_unimpeachable	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
sister_NN1_sister	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
pitiable_AJ0_pitiable	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
intending_VVG_intend	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
embraced_VVD_embrace	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
Taking_VVG_take	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
Cruel_AJ0_cruel	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
accuses_VVZ_accuse	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
strongly_AV0_strongly	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
conclusion_NN1_conclusion	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
blaming_VVG_blame	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
but_PRP_but	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
pause_NN1_pause	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
encountered_VVN_encounter	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
leading_VVG_lead|leading	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
restoring_VVG_restore|restoring	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
proprieties_NN2_propriety	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
moments_NN2_moment	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
posting_VVG_post|posting	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
weird_AJ0_weird	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
St._NP0_st.	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
Vitus_NP0_vitus	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
rummaged_VVD_rummage	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
defer_VVI_defer	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
bedclothes_NN2_bedclothe	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
deriving_VVG_derive	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
extraordinary_AJ0_extraordinary	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
torn_VVN_tear|torn	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
muslin_NN1_muslin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
starch_NN1_starch	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
hugged_VVD_hug	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
liberties_NN2_liberty	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
renew_VVI_renew	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
belonged_VVD_belong	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
jogging_VVG_jogging|jog	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
hugged_VVN_hug	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
pleased_VVD_please|pleased	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
liberty_NN1_liberty	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
incredulity_NN1_incredulity	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
meaning_VVG_mean|meaning	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
live_VVB_live	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
suggest_VVI_suggest	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
sordid_AJ0_sordid	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
grinding_AJ0_grinding|grind	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
train_NN1_train	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
Ugly_AJ0_ugly	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
unfortunate_AJ0_unfortunate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
looks_NN2_look	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
calmness_NN1_calmness	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
lapsed_VVD_lapse	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
Cold_AJ0_cold	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
grave_NN1_grave	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
callous_AJ0_callous	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
Unlike_PRP_unlike	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
painted_VVN_paint|painted	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
listen_VVI_listen	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
discovered_VVD_discover|discovered	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
tortured_AJ0_tortured|torture	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
endurance_NN1_endurance	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
forgiving_AJ0_forgiving|forgive	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
Death_NN1_death	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
tear_VVB_tear	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
O_ZZ0_o	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
needful_AJ0_needful	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
helpless_AJ0_helpless	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
afflicted_AJ0_afflicted|afflict	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
hung_VVD_hang|hung	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
stern_AJ0_stern	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
occurred_VVN_occur	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
foreseen_VVN_foresee	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
183_CRD_183	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
exist_VVI_exist	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
trusted_VVN_trust|trusted	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
yielded_VVD_yield	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
smooth_VVI_smooth	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
concealments_NN2_concealment	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
deceptions_NN2_deception	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
trodden_VVN_tread	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
worm_NN1_worm	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
surrounded_VVD_surround	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
being_NN1_being	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
begged_VVD_beg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
contumely_NN1_contumely	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
forlorn_AJ0_forlorn	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
retiring_VVG_retiring|retire	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
pleaded_VVD_plead	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
dove_NN1_dove	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
insult_NN1_insult	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
term_NN1_term	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
reproach_NN1_reproach	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
leader_NN1_leader	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
miserably_AV0_miserably	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
species_NN0_species	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
groping_VVG_grope|groping	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
exposed_VVN_expose|exposed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
summing_VVG_sum|summing	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
convulsions_NN2_convulsion	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
frightened_VVD_frightened|frighten	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
To-day_AV0_to-day	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
grief_NN1_grief	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
suited_VVN_suit|suited	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
tastes_NN2_taste	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
forsaken_AJ0_forsaken|forsake	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
will_NN1_will	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
wanting_VVG_want|wanting	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
finished_VVD_finish|finished	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
treachery_NN1_treachery	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
concealing_VVG_conceal	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
Last_ORD_last	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
occurred_VVD_occur	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
interview_NN1_interview	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
incident_NN1_incident	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
witnessed_VVD_witness	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
unlooked-for_AJ0_unlooked-for	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
forgiveness_NN1_forgiveness	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
pang_NN1_pang	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
drag_NN1_drag	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
wears_VVZ_wear	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
chain_NN1_chain	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
riveted_VVN_rivet|riveted	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
hoping_VVG_hope	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
miss_NN1_miss	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
Day_NN1_day	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
lightly_AV0_lightly	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
distrust_NN1_distrust	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
Passion_NN1_passion	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
Loyal_AJ0_loyal	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
zealous_AJ0_zealous	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
claim_VVB_claim	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
hopeful_AJ0_hopeful	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
constancy_NN1_constancy	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
177_CRD_177	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
spoken_AJ0_spoken|speak	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
hope_VVI_hope	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
origin_NN1_origin	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
misgivings_NN2_misgiving	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
asserted_VVD_assert	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
superiority_NN1_superiority	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
exhibited_VVN_exhibit	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
bear_NN1_bear	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
Staunch_AJ0_staunch	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
witness_NN1_witness	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
release_VVI_release	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
unequal_AJ0_unequal	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
conceal_VVI_conceal	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
twisting_VVG_twisting|twist	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
grip_NN1_grip	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
reed_NN1_reed	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
178_CRD_178	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
review_NN1_review	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
One_PNI_one	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
judge_VVI_judge	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
enjoyment_NN1_enjoyment	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
plan_NN1_plan	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
awakened_VVN_awaken	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
leaves_VVZ_leave|leaf	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
sigh_NN1_sigh	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
strolling_VVG_stroll|strolling	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
neighbouring_AJ0_neighbouring	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
elms_NN2_elm	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
unwilling_AJ0_unwilling	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
eve_NN1_eve	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
striking_NN1_striking|strike	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
piteously_AV0_piteously	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
dried_VVD_dry|dried	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
incoherently_AV0_incoherently	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
horrified_AJ0_horrified|horrify	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
bury_VVB_bury	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
Will_VM0_will	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
drying_VVG_dry|drying	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
wedding-gown_NN1_wedding-gown	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
wretched_AJ0_wretched	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
Ow-w-w-w_NP0_Ow-w-w-w	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
soft-hearted_AJ0_soft-hearted|soft-heart	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
tailed_VVD_tail	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
juncture_NN1_juncture	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
deplorable_AJ0_deplorable	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
honours_NN2_honour	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
tremendous_AJ0_tremendous	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
suppression_NN1_suppression	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
infallibly_AV0_infallibly	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
favours_VVZ_favour	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
smaller_AJC_small	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
demonstrative_AJ0_demonstrative	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
impassioned_AJ0_impassioned	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
Wedding_NN1_wedding	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
courage_NN1_courage	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
179_CRD_179	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
drank_VVD_drink	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
pretending_VVG_pretend	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
ignorant_AJ0_ignorant	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
affected_VVN_affect|affected	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
till_PRP_till	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
shortly_AV0_shortly	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
remained_VVN_remain	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
jolly_AV0_jolly	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
please_VVI_please	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
officious_AJ0_officious	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
ruddy_AJ0_ruddy	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
harder_AJC_hard	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
deprived_VVN_deprive|deprived	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
Sorry_AJ0_sorry	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
accompanying_VVG_accompany|accompanying	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
compel_VVB_compel	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
precaution_NN1_precaution	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
thankee_NN1_thankee	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
